year,name,median_sale_price
2022,South Chicago,198750.0
2022,South Commons,126825.0
2022,South Deering,120500.0
2022,South East Ravenswood,433125.0
2022,South Edgebrook,450000.0
2022,South Lawndale,260500.0
2022,South Lawndale / Little Village,254000.0
2022,South Loop,354500.0
2022,South Old Irving Park,478350.0
2022,South Shore,165875.0
2022,South Side,261875.0
2022,Southwest Side,250000.0
2022,St. Ben'S,739000.0
2022,Stateway Gardens,218750.0
2022,Stony Island Park,213750.0
2022,Streeterville,400000.0
2022,Tally'S Corner,396750.0
2022,The Bush,133000.0
2022,The Chicago University,263750.0
2022,The Gap,380000.0
2022,The Island,212087.0
2022,The Villa,562500.0
2022,Tri-Taylor,302500.0
2022,Ukrainian Village,564500.0
2022,Union Ridge,334739.0
2022,Uptown,311750.0
2022,Vittum Park,277500.0
2022,Waclawowo,389125.0
2022,Washington Heights,207500.0
2022,Washington Park,182500.0
2022,West Beverly,278500.0
2022,West Chatham,205000.0
2022,West Chesterfield,192975.0
2022,West Depaul,722500.0
2022,West Elsdon,278250.0
2022,West Englewood,142250.0
2022,West Garfield Park,240000.0
2022,West Humboldt Park,275000.0
2022,West Lake View,567500.0
2022,West Lawn,262500.0
2022,West Morgan Park,331125.0
2022,West Pullman,157750.0
2022,West Ridge,208500.0
2022,West Side,402500.0
2022,West Town,552500.0
2022,West Walker,586250.0
2022,West Woodlawn,271500.0
2022,Wicker Park,578750.0
2022,Wildwood,502500.0
2022,Woodlawn,278750.0
2022,Woodlawn Ridge,302500.0
2022,Wrightwood,442500.0
2022,Wrigleyville,522500.0
